Bhobishyoter Bhoot,Bengali
Kavaludaari,Kannada
The Least Of These,English
Kahi Kshan Premache,Marathi
Dilwale Dulhania Le Jayenge,Hindi
Gangs Of Madras,Tamil
Gun Pe Done,Hindi
Phir Ussi Mod Par Talaq,Hindi
Notebook,Hindi
Tarikh,Bengali
Blackboard VS Whiteboard,Hindi
12 Angry Men (1956),English
God Of Gods,Hindi
Wonder Park,English
Menka Urvashi,Marathi
Ramai,Marathi
Nirahua Chalal London,Bhojpuri
Temper,Hindi
H2O,Marathi
Ek Haqiqat Ganga,Hindi
KPOP IN2IT Live Performance,English
San 1981,Marathi
Vishal Singh Bane Raajkumar,Bhojpuri
Payanigaru,Kannada
The Curse Of The Weeping Woman,English
After,English
The Voyage Of Doctor Dolittle,English
Kanchana 3,Tamil
Miracle,Tamil
Jersey,Telugu
Miranda House,Marathi
Thrayambakam,Kannada
Howla Howla,Kannada
Punarvasu Nakshathra Mithuna Rashi,Kannada
Paddehuli,Kannada
Naukar Vahuti Da,Punjabi
Marvel Movie Marathon,English
Diksoochi,Telugu
Oru Yamandan Prema Kadha,Malayalam
Avengers: Endgame,Hindi
KaaGaR,Marathi
Ombathane Adbutha,Kannada
Gara,Kannada
Nadhoo Khan,Punjabi
Ke Tumi Nandini,Bengali
Jyeshthoputro,Bengali
Mr. Local,Tamil
Arjun Suravaram,Telugu
Vijayaratha ,Kannada
Setters,Hindi
Hansa Ek Sanyog,Hindi
Blank,Hindi
Gunwali Dulhaniya,Hindi
Uglydolls,English
Baalaa,Marathi
Jeem Boom Bhaa,Malayalam
Jind Jaan,Punjabi
Blackia,Punjabi
Maharshi,Telugu
Chhota Bheem: Kung Fu Dhamaka,Hindi
Student Of The Year 2,Hindi
Pokemon Detective Pikachu,English
BRIGHTBURN,English
Ayogya,Tamil
Ek Hota Pani,Marathi
Anushka,Kannada
Lukan Michi,Punjabi
Durgeshgorer Guptodhon,Bengali
Chase,Kannada
De De Pyaar De,Hindi
The Sun Is Also A Star,English
The Hustle,English
John Wick: Chapter 3 - Parabellum,English
A Dogs Journey,English
Rampaat,Marathi
Gangstar vs State,Punjabi
Chaturnath,Hindi
Mental Hai Kya,Hindi
India's Most Wanted,Hindi
Aladdin,Hindi
Ad Astra,English
Judgement,Marathi
Muklawa,Punjabi
Chandigarh Amritsar Chandigarh,Punjabi
Godzilla 2: King of the Monsters,English
Rocketman,English
MA,English
Dear Comrade,Tamil
NGK,Tamil
BaBo,Marathi
Bharat,Hindi
 X-Men: Dark Phoenix,Hindi
Mogra Phulaalaa,Marathi
Toy Story 4,Hindi
Kabir Singh,Hindi
Shadaa,Punjabi
Drive,Hindi
Annabelle Comes Home,Hindi
Takatak,Marathi
Adham,Marathi
Mindo Taseeldarni,Punjabi
Satellite Shankar,Hindi
Spider-Man: Far From Home,Hindi
Jabariya Jodi,Hindi
Jai Mummy Di,Hindi
A Biopic from the Film Industry,Hindi
Top Gun: Maverick,English
Jaddi Sardar,Punjabi
The Lion King,Hindi
Pal Pal Dil Ke Paas,Hindi
Arjun Patiala,Hindi
Smile Please,Marathi
Super 30,Hindi
Hobbs and Shaw,English
Once Upon A Time In Hollywood,English
Stuber,English
The New Mutants,Hindi
Dora And The Lost City Of Gold,English
Artemis Fowl,English
Batla House,Hindi
Made In China,Hindi
Saaho,Telugu
Ye Re Ye Re Paisa 2,Marathi
Bayko Deta Ka Bayko,Marathi
Chhichhore,Hindi
Good News,Hindi
It: Chapter 2,English
Dream Girl,Hindi
Spies In Disguise,English
Daaka,Punjabi
Nikka Zaildar 3,Punjabi
Abominable,English
Doorbeen,Punjabi
Gaalib,Marathi
Rambo,Hindi
Marjaavaan,Hindi
Gemini Man,English
The Woman In The Window,English
Joker,English
Password,Bengali
The Sky Is Pink,Hindi
Jungle Cruise ,English
Maleficent 2,English
Kaithi,Tamil
Jinde Meriye,Punjabi
ABCD 3,Hindi
Street Dancer 3,Hindi
Terminator,Hindi
Frozen 2,English
Dil Bechara,Hindi
Panipat,Hindi
Pati Patni Aur Woh,Hindi
Oka Tupaki Moodu Pittalu,Telugu
Yesu Kristu Rendava Rakada,Telugu
Jumanji 3,Hindi
Kosrakollikal,Malayalam
The Call Of The Wild,English
Taanaji: The Unsung Warrior,Hindi
Bad Boys for Life,English
Panga,Hindi
Paani,Hindi
Baaghi 3,Hindi
Gambit,Hindi
Bhuj The Pride Of India,Hindi
Rooh Afza,Hindi
Sadak 2,Hindi
'83,Hindi
Hera Pheri ,Punjabi
Fast and Furious 9,English
Puaada,Punjabi
Phatte Dinde Chakk Punjabi,Punjabi
Natpe Thunai,Tamil
Uriyadi 2,Tamil
Watchman,Tamil
Super Deluxe,Tamil
Majili,Telugu
Chitralahari,Telugu
Madhuraraja,Malayalam
Lucifer ,Malayalam
Dumbo,English
Shazam!,English
Hellboy,English
Pet Sematary,English
How To Train Your Dragon: The Hidden World,English
The Least Of These,English
Gangs Of Madras,Tamil
The Tashkent Files,Hindi
Kalank,Hindi
Thadam,Tamil
Captain Marvel,English
Airaa,Tamil
Kavaludaari,Kannada
Kuppathu Raja,Tamil
Five Feet Apart ,English
Badla,Hindi
Zhagaram,Tamil
Kesari,Hindi
Ispade Rajavum Idhaya Raniyum,Tamil
Romeo Akbar Walter,Hindi
Rocky The Revenge,Tamil
Free Solo,English
Us,English
LKG,Tamil
To Let,Tamil
Avengers: Infinity War,English
90 ML,Tamil
Police Dada,Tamil
KPOP IN2IT Live Performance,English
Payanigaru,Kannada
