How To Train Your Dragon: The Hidden World,"21 Mar, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/how-to-train-your-dragon-3-et00047163-01-10-2016-03-32-28.jpg,"What began as an unlikely friendship between an adolescent Viking and a fearsome Night Fury dragon has become an epic trilogy spanning their lives. In this next chapter, Hiccup and Toothless will finally discover their true destinies: the village chief as ruler of Berk alongside Astrid, and the dragon as leader of his own kind. As both ascend, the darkest threat they've yet faced-as well as the appearance of a female Night Fury-will test the bonds of their relationship like never before.",https://www.imdb.com/videoplayer/vi1887746585?playlistId=tt2386490&ref_=tt_ov_vi,1 hrs 44 mins,"14,776",1
Diksoochi,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/diksoochi-et00099549-25-03-2019-04-05-35.jpg,"Touted as a devotional crime thriller, Diksoochi follows the story of a man who sets out to solve the mystery surrounding a tragic incident that happened in 1975.",https://www.imdb.com/videoplayer/vi1887746585?playlistId=tt2386490&ref_=tt_ov_vi,2 hrs 00 mins,188,1
Idhi ChalaThakkuva,"19 Apr, 2019",A ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/idhi-chalathakkuva-et00100540-09-04-2019-03-40-57.jpg,"Thamara, Paru, Kajal and Suganya are four friends who are rather tired of their uneventful routine. However, things take a turn for the better with the arrival of a spirited and outgoing young woman named Rita, who encourages them to live their lives to the fullest.",https://www.imdb.com/videoplayer/vi1887746585?playlistId=tt2386490&ref_=tt_ov_vi,2 hrs 05 mins,159,1
Danger Love Story,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/danger-love-story-et00101402-24-04-2019-03-41-22.jpg,Danger Love Story is a Telugu movie starring Madhulagna Das and Khayyum Ali in prominent roles. It is a drama directed by ,N/A,1 hrs 56 mins,24,1
Total Dhamaal,"22 Feb, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/total-dhamaal-et00015976-18-12-2017-10-43-51.jpg,"A hidden loot of 500 million rupees sends a bunch of eccentric folks on a madcap misadventure, where they all vie to get their hands on the money. Among these are a bickering couple, two dim-witted siblings, some seasoned conmen, a greedy police officer and the mastermind of the loot itself. Will any of them actually hit the jackpot at the end of it all?",https://www.imdb.com/videoplayer/vi503691801?playlistId=tt7639372&ref_=tt_ov_vi,2 hrs 10 mins,"65,464",1
Nuvvu Thopu Raa,"03 May, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/nuvvu-thopu-raa-et00101190-22-04-2019-12-17-35.jpg,"Suri, a rebellious student who is irresponsible and raised by a single parent from Hyderabad, unexpectedly travels to US. How he takes control of the unforeseen situations and uses his street smartts to get his life back on track from an illegal immigrant status to a successful person forms the crux of Nuvvu Thopu Raa.",N/A,2 hrs 30 mins,0,1
Blank,"03 May, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/blank1-et00084155-17-09-2018-03-43-34.jpg,A nightmarish threat looms large in the form of a man with a live bomb in his chest and no memory of how it got there. It is now up to a team of highly trained officers to foil the attack and hunt down the secret terrorist organisation behind it.,https://www.imdb.com/videoplayer/vi624082201?playlistId=tt9052936&ref_=tt_ov_vi,1 hrs 51 mins,0,1
Geetha Chalo,"Dec, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/geetha-chalo-et00101354-23-04-2019-02-07-47.jpg,"Geetha Chalo is a Telugu movie starring Ganesh, Rashmika Mandanna and Akshay Nayak in prominent roles. It is a drama directed & written by Narsimhaiah Sunil Kumar with Judah Sandhy as musician, forming part of the crew.",N/A,2 hrs 27 mins,0,1
Setters,"03 May, 2019",,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/setters-et00085745-06-10-2018-12-23-02.jpg,"An edge-of-the-seat thriller set in Benares, Jaipur, Mumbai and Delhi, Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop, and the other a ""setter"" who arranges brilliant students in place of weak students to appear in examinations.",N/A,N/A,0,1
Duppatlo Minnagu,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/duppatlo-minnagu-et00101401-24-04-2019-02-05-25.jpg,Duppatlo Minnagu is a Telugu movie starring Chirashree Anchan and Naveen Thirthahalli in prominent roles. It is a drama directed by Yendamuri Veerendranath.,N/A,1 hrs 49 mins,19,1
