hyderabad,INOX: Maheshwari,3,2019-04-13,Chitralahari,Telugu,2D,10:20 PM
hyderabad,Jyothi Cinema: IDA Bolaram,3,2019-04-13,Chitralahari,Telugu,2D,06:15 PM
hyderabad,Jyothi Cinema: IDA Bolaram,1,2019-04-13,Chitralahari,Telugu,2D,09:15 PM
hyderabad,Kalyani Movie Max: Bowenpally,1,2019-04-13,Chitralahari,Telugu,2D,06:15 PM
hyderabad,Kalyani Movie Max: Bowenpally,2,2019-04-13,Chitralahari,Telugu,2D,09:30 PM
hyderabad,Krishna Cinema: Nagaram (Dammaiguda),2,2019-04-13,Chitralahari,Telugu,2D,06:00 PM
hyderabad,Krishna Cinema: Nagaram (Dammaiguda),2,2019-04-13,Chitralahari,Telugu,2D,09:00 PM
hyderabad,Lakshmi Kala Mandir: Alwal,3,2019-04-13,Chitralahari,Telugu,2D,06:30 PM
hyderabad,Lakshmi Kala Mandir: Alwal,1,2019-04-13,Chitralahari,Telugu,2D,09:30 PM
hyderabad,Megha Theatre: Dilsukhnagar,3,2019-04-13,Chitralahari,Telugu,2D,09:15 PM
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,07:40 PM
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad",1,2019-04-13,Chitralahari,Telugu,2D,10:30 PM
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad",3,2019-04-13,Chitralahari,Telugu,2D,09:15 PM
hyderabad,Mukta A2 Cinemas: Abids,3,2019-04-13,Chitralahari,Telugu,2D,09:15 PM
hyderabad,Nagendra: Karmanghat,3,2019-04-13,Chitralahari,Telugu,2D,07:00 PM
hyderabad,Nagendra: Karmanghat,2,2019-04-13,Chitralahari,Telugu,2D,10:00 PM
hyderabad,Platinum Movietime: Gachibowli,1,2019-04-13,Chitralahari,Telugu,2D,08:30 PM
hyderabad,Platinum Movietime: Gachibowli,2,2019-04-13,Chitralahari,Telugu,2D,11:00 PM
hyderabad,Prasads: Hyderabad,3,2019-04-13,Chitralahari,Telugu,2D,08:15 PM
hyderabad,Prasads: Hyderabad,3,2019-04-13,Chitralahari,Telugu,2D,11:00 PM
hyderabad,Prashant Cinema: Secunderabad,3,2019-04-13,Chitralahari,Telugu,2D,09:00 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,08:10 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",1,2019-04-13,Chitralahari,Telugu,2D,07:10 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",3,2019-04-13,Chitralahari,Telugu,2D,10:00 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,11:00 PM
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,07:00 PM
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad",3,2019-04-13,Chitralahari,Telugu,2D,10:00 PM
hyderabad,"PVR: Inorbit, Cyberabad",2,2019-04-13,Chitralahari,Telugu,2D,08:00 PM
hyderabad,"PVR: Inorbit, Cyberabad",3,2019-04-13,Chitralahari,Telugu,2D,10:50 PM
hyderabad,"PVR: Irrum Manzil, Hyderabad",1,2019-04-13,Chitralahari,Telugu,2D,09:45 PM
hyderabad,"PVR: Musarambagh, Hyderabad",1,2019-04-13,Chitralahari,Telugu,2D,07:00 PM
hyderabad,"PVR: Musarambagh, Hyderabad",3,2019-04-13,Chitralahari,Telugu,2D,10:00 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",1,2019-04-13,Chitralahari,Telugu,2D,07:10 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",3,2019-04-13,Chitralahari,Telugu,2D,10:00 PM
hyderabad,"PVR: Panjagutta, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,07:30 PM
hyderabad,"PVR: Panjagutta, Hyderabad",2,2019-04-13,Chitralahari,Telugu,2D,10:20 PM
hyderabad,"PVR: RK Cineplex, Hyderabad",3,2019-04-13,Chitralahari,Telugu,2D,08:00 PM
hyderabad,"PVR: RK Cineplex, Hyderabad",3,2019-04-13,Chitralahari,Telugu,2D,11:00 PM
hyderabad,Raghavendra 70mm: Malkajgiri,2,2019-04-13,Chitralahari,Telugu,2D,06:00 PM
hyderabad,Raghavendra 70mm: Malkajgiri,2,2019-04-13,Chitralahari,Telugu,2D,09:00 PM
hyderabad,Ranga Theatre 70MM: Jeedimetla,3,2019-04-13,Chitralahari,Telugu,2D,09:00 PM
hyderabad,Sai Ranga: Miyapur,2,2019-04-13,Chitralahari,Telugu,2D,09:00 PM
hyderabad,Sandhya 35mm: RTC X Road,3,2019-04-13,Chitralahari,Telugu,2D,06:00 PM
